Barcode,Cluster
1,3
2,3
3,4
4,3
5,3
6,3
7,3
8,3
9,7
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,2
20,4
21,3
22,3
23,3
24,4
25,3
26,3
27,3
28,3
29,3
30,2
31,4
32,3
33,3
34,7
35,3
36,3
37,3
38,4
39,2
40,3
41,3
42,6
43,4
44,4
45,4
46,2
47,4
48,3
49,2
50,4
51,3
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,3
61,3
62,3
63,3
64,3
65,3
66,2
67,2
68,2
69,2
70,4
71,3
72,3
73,3
74,2
75,6
76,2
77,9
78,3
79,3
80,3
81,3
82,3
83,7
84,3
85,7
86,3
87,3
88,3
89,3
90,2
91,4
92,3
93,3
94,3
95,3
96,3
97,3
98,6
99,3
100,6
101,6
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,4
111,7
112,3
113,4
114,4
115,3
116,2
117,3
118,4
119,4
120,3
121,3
122,3
123,7
124,6
125,2
126,3
127,2
128,6
129,3
130,4
131,3
132,3
133,4
134,3
135,3
136,2
137,3
138,6
139,3
140,3
141,3
142,3
143,3
144,3
145,4
146,4
147,3
148,3
149,3
150,3
151,3
152,7
153,3
154,3
155,3
156,2
157,3
158,3
159,7
160,3
161,3
162,3
163,3
164,2
165,3
166,3
167,3
168,2
169,3
170,3
171,3
172,6
173,7
174,7
175,4
176,2
177,1
178,1
179,1
180,3
181,1
182,1
183,1
184,6
185,7
186,1
187,1
188,1
189,2
190,1
191,2
192,3
193,1
194,1
195,1
196,7
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,2
206,7
207,6
208,2
209,7
210,6
211,3
212,3
213,7
214,3
215,6
216,2
217,3
218,3
219,7
220,7
221,2
222,3
223,3
224,1
225,3
226,1
227,3
228,3
229,7
230,3
231,3
232,1
233,3
234,3
235,7
236,2
237,7
238,6
239,3
240,7
241,6
242,3
243,6
244,3
245,2
246,6
247,3
248,3
249,3
250,3
251,1
252,6
253,1
254,6
255,7
256,1
257,2
258,7
259,1
260,1
261,1
262,6
263,1
264,1
265,6
266,9
267,9
268,7
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,6
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,7
288,7
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,4
301,1
302,1
303,1
304,1
305,1
306,1
307,9
308,2
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,3
317,1
318,2
319,1
320,1
321,6
322,1
323,1
324,6
325,1
326,1
327,1
328,1
329,3
330,6
331,1
332,1
333,2
334,6
335,1
336,1
337,1
338,3
339,1
340,1
341,1
342,3
343,1
344,1
345,3
346,1
347,1
348,1
349,2
350,2
351,8
352,6
353,8
354,6
355,2
356,4
357,8
358,8
359,4
360,4
361,2
362,2
363,2
364,4
365,8
366,6
367,8
368,4
369,2
370,8
371,8
372,8
373,2
374,2
375,2
376,4
377,9
378,2
379,4
380,9
381,9
382,6
383,8
384,6
385,8
386,2
387,4
388,8
389,8
390,8
391,6
392,8
393,8
394,8
395,6
396,8
397,9
398,6
399,4
400,8
401,9
402,4
403,2
404,8
405,9
406,6
407,8
408,8
409,2
410,8
411,6
412,2
413,2
414,8
415,8
416,4
417,2
418,8
419,8
420,8
421,8
422,8
423,6
424,8
425,8
426,8
427,8
428,4
429,2
430,2
431,2
432,2
433,8
434,4
435,2
436,2
437,8
438,6
439,4
440,2
441,8
442,8
443,8
444,8
445,6
446,8
447,8
448,2
449,2
450,8
451,2
452,2
453,8
454,4
455,8
456,8
457,2
458,2
459,8
460,2
461,4
462,6
463,4
464,2
465,2
466,9
467,9
468,9
469,2
470,9
471,9
472,9
473,9
474,9
475,7
476,7
477,7
478,7
479,9
480,7
481,4
482,4
483,4
484,7
485,4
486,2
487,2
488,7
489,7
490,9
491,4
492,6
493,2
494,7
495,7
496,7
497,7
498,4
499,7
500,4
501,9
502,4
503,4
504,2
505,7
506,7
507,7
508,7
509,7
510,4
511,4
512,7
513,7
514,7
515,4
516,2
517,2
518,9
519,9
520,4
521,6
522,6
523,7
524,7
525,4
526,3
527,3
528,2
529,2
530,4
531,4
532,2
533,2
534,2
535,2
536,4
537,4
538,4
539,4
540,6
541,4
542,4
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,2
557,2
558,6
559,2
560,7
561,2
562,7
563,7
564,2
565,4
566,2
567,9
568,4
569,4
570,4
571,4
572,4
573,9
574,7
575,2
576,4
577,4
578,4
579,4
580,4
581,4
582,2
583,4
584,2
585,2
586,2
587,2
588,4
589,2
590,4
591,4
592,4
593,4
594,4
595,4
596,2
597,4
598,4
599,4
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,4
614,4
