Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value,Cluster 11 Mean Counts,Cluster 11 Log2 fold change,Cluster 11 Adjusted p value,Cluster 12 Mean Counts,Cluster 12 Log2 fold change,Cluster 12 Adjusted p value,Cluster 13 Mean Counts,Cluster 13 Log2 fold change,Cluster 13 Adjusted p value,Cluster 14 Mean Counts,Cluster 14 Log2 fold change,Cluster 14 Adjusted p value,Cluster 15 Mean Counts,Cluster 15 Log2 fold change,Cluster 15 Adjusted p value,Cluster 16 Mean Counts,Cluster 16 Log2 fold change,Cluster 16 Adjusted p value,Cluster 17 Mean Counts,Cluster 17 Log2 fold change,Cluster 17 Adjusted p value,Cluster 18 Mean Counts,Cluster 18 Log2 fold change,Cluster 18 Adjusted p value,Cluster 19 Mean Counts,Cluster 19 Log2 fold change,Cluster 19 Adjusted p value,Cluster 20 Mean Counts,Cluster 20 Log2 fold change,Cluster 20 Adjusted p value,Cluster 21 Mean Counts,Cluster 21 Log2 fold change,Cluster 21 Adjusted p value,Cluster 22 Mean Counts,Cluster 22 Log2 fold change,Cluster 22 Adjusted p value,Cluster 23 Mean Counts,Cluster 23 Log2 fold change,Cluster 23 Adjusted p value,Cluster 24 Mean Counts,Cluster 24 Log2 fold change,Cluster 24 Adjusted p value,Cluster 25 Mean Counts,Cluster 25 Log2 fold change,Cluster 25 Adjusted p value,Cluster 26 Mean Counts,Cluster 26 Log2 fold change,Cluster 26 Adjusted p value,Cluster 27 Mean Counts,Cluster 27 Log2 fold change,Cluster 27 Adjusted p value,Cluster 28 Mean Counts,Cluster 28 Log2 fold change,Cluster 28 Adjusted p value
ENSMUSG00000026090,2010300C02Rik,2.306496474284883,-0.32936537516062026,0.00000000009988120096562609,0.6227860209298883,-2.2518082206157004,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004788196895783588,4.379418496869272,0.7241971490309136,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000007073635779170414,3.0093122806659083,0.08419117339639492,0.06349210604873416,2.201464206879561,-0.38956648286441853,0.000000003841021550416195,2.3492544035228184,-0.3063893192207625,0.000000000024062910228216344,9.162768382967856,1.8134056314023939,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002814104282353606,2.231143217932019,-0.37345840124644725,0.00000000019551354902688917,0.5979803368328042,-2.2842864392601037,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010944444191863207,2.3762438533530057,-0.27698317268446604,0.000005772374589670508,0.21796702995466866,-3.7594108478808304,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039990674262242035,9.219218411668642,1.8303945158582169,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009038056036643973,0.11412808308091735,-4.6695335565234775,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014372665064610624,6.040572346135231,1.132357133868358,0.00000000000000000000000000000000000000000000000000000000000000002154306198227816,1.9099342312244374,-0.5976089534341915,0.000000000000000450862378254926,1.0004824544872035,-1.5543740299072224,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001465908087039753,1.3796681310248162,-1.0594904346025513,0.000000000000000035388733110496965,2.70958425918787,-0.07694441197771518,0.5215348999430875,0.48654880860876293,-2.563297777897754,0.000000000000000000000000000000000000000000000000000000016158582212679121,0.19505001705752253,-3.870464237164621,0.0000000000000000000000000000000000000000000000000000000000000000000000000000003976801805342014,0.44543725069039625,-2.6856248492045367,0.0000000000000000000000000000000000000000000029654763106520325,5.248964466521716,0.894825989251161,0.00000000000000000021224982192552314,1.5547491472033828,-0.8859714081934416,0.0000000000010326816269931045,2.446072736580947,-0.22765400536607605,0.01185615152176454,1.5880010791400374,-0.8540292650473496,0.00000000029520757399821227,2.2757551964957212,-0.3315298392735404,0.007915001287333332,0.11366885605950738,-4.64016004882329,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004981206815057404,2.4333232927406554,-0.23779307484603707,0.6317816468329365
ENSMUSG00000032281,Acsbg1,3.50168665970702,0.5121387674847626,0.000000000000000000000000003807631329875367,2.0067549563296403,-0.35188467026488524,0.000000035560985888970814,1.628511435219343,-0.7044900282076199,0.000000000000000000000000000000000000000000000000000000000039479267532129537,1.1985513094915794,-1.150367179486981,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009708560770411343,10.512919916129913,2.278509961541963,0,1.7929248160433109,-0.5415833292775623,0.0000000000000000000000000000062644854901885296,0.5566138777139066,-2.229185638121404,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015876584286526288,1.8714034186195667,-0.45934278164531084,0.000000000000024694947033021168,2.491291609187256,-0.025669647225093906,0.7954560571372125,1.6259484416071277,-0.6673650541583367,0.00000000000000000000000036035895533023237,2.1985445395706944,-0.21267234962095882,0.002900432478431135,0.9125832303895617,-1.510546733821273,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000012645278344361363,0.7970705322371268,-1.6937782278514855,0.0000000000000000000000000000000000000000000000000000000000005968078689880864,8.877142815244962,1.9251271741584337,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003142774075798613,2.03384919624264,-0.3282796855891672,0.000007939571326730596,1.4909150302162248,-0.7923222330992101,0.000000000000000000000000000005523993101693806,0.5089075261744233,-2.329824914459727,0.0000000000000000000000000000000000000000000000000000005882084639980597,3.494949565753786,0.4714183506711598,0.0000035554348856596287,1.7058518470500001,-0.5775144675611316,0.00001802668272483048,11.08302061208994,2.176454396040239,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002104590666559001,7.712279840441861,1.6298703913176886,0.0000000000000000000000000000000000000000000003780675134988763,1.3093110726698507,-0.9627448211225149,0.00000000000010566917192730903,3.121188137618821,0.3040691198622121,0.006267304307723467,0.7197997479620366,-1.8384780222282353,0.00000000000000000000000000000000000000000000000000000000000039074603179524887,1.456485538593211,-0.8069140922623621,0.0000000066526152782209225,2.7134674986569673,0.0987952622097823,0.40397139840313695,2.1050597766404926,-0.271574085583417,0.05126448108459723,2.4242437282155036,-0.07142059117138988,0.9671343558367854
ENSMUSG00000035783,Acta2,0.22648652071035555,-0.32238873728585626,0.01827261463508732,0.11773346846282612,-1.2826780403806417,0.0000000000029746758620531925,0.10497512437810962,-1.52357731266637,0.00000000000000000000000000000000001459636827660923,0.10481934788494254,-1.4932651452065044,0.00000000000000000000000003176764533326964,0.0864671483665948,-1.728252633033278,0.000000000000000021763429453543648,0.11262343207899654,-1.3926214222132227,0.0000000000000000000000005639371000139218,0.11763808316534176,-1.27269928550009,0.0000000009028220642863617,0.08909443627831758,-1.6984773573649834,0.000000000000000000003281696500260964,3.4981849704719044,4.191594902795964,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010716138289822557,0.1040792032323197,-1.465305199301593,0.0000000000000015905158314238567,0.09193581431048874,-1.6321267619200752,0.000000000000040013149709194346,0.13416864850934618,-1.0823433937087878,0.000000052978504625430846,0.08765036780614452,-1.683656095002224,0.0000000002549037875807025,0.09282477673661514,-1.607608469186825,0.00000000003690712601063518,0.09736175822858767,-1.5471227211469638,0.0000000000015744525169878388,0.09225434397497266,-1.6340309979173293,0.000000000000000403096254789579,1.343317593440929,2.34689297943862,0.0000000000000000000000000000012106140711312746,0.19227399219127897,-0.5364593055372366,0.10614831024856719,4.56652436031598,4.326154501924792,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007679315432768366,0.06733869636509707,-2.0173684415423763,0.000012817298228168593,0.22012887388769584,-0.33263836952173587,0.5224947840780926,0.1858485026423957,-0.5835120703851893,0.08861341247852364,0.07347901447577748,-1.9109429146230443,0.0000006329744092991605,0.13814338597251208,-1.0225577256988976,0.00011248441441810872,0.09422008874996513,-1.5517989559894168,0.00011603716932262489,0.07324269597917264,-1.9135458298903179,0.0000014007284904632353,0.09180946066344826,-1.5842666997756711,0.00019138829783875642,0.9533542751409284,1.7813129294255554,0.0008737658089317288
ENSMUSG00000000530,Acvrl1,2.7504597638529185,3.9799560756373173,0,0.12590272953983855,-1.5905761386606998,0.00000000000000000000000000000000000000007471011293085417,0.0550820044265366,-2.889558264977558,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008293687151329213,0.04634685819077151,-3.0964928654391333,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007440829203938302,0.10132040084674605,-1.9016694134688068,0.000000000000000000000000000000000000000000000007989226736909937,0.09527741240611537,-2.0519462096798815,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006991829754809115,0.016716990765601198,-4.462037967613074,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006772606689005472,0.06766134075853363,-2.502954969464702,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000006638014233833038,0.9849087900775598,1.4876147301852554,0.0000000000000000000000000000000000000000000000169758491298695,0.06984870972480123,-2.449698962151312,0.00000000000000000000000000000000000000000000000000000000000000000000000000010371683100241134,0.07975888526274189,-2.2405721460687387,0.00000000000000000000000000000000000000000000000000016578524183223291,0.04255569468137852,-3.1450857864406663,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005073189215278,0.028303764604067503,-3.6909777937175487,0.0000000000000000000000000000000000000000000000000000000000000963402075785073,0.09978663499186129,-1.9054141763628445,0.0000000000000000000000000000000016504279438626685,0.06258970171837779,-2.5876228242085695,0.000000000000000000000000000000000000000000000000000000000002864376385923215,0.06786526453331322,-2.4820196716068432,0.000000000000000000000000000000000000000000000000000000000000000000020410042056486824,0.19992795671138056,-0.8804158395825803,0.000013352914164629865,0.3771528308367395,0.03927187092546025,0.7857087417833599,5.305140623987114,4.102691487682582,0,0.10216905655394037,-1.830487731246911,0.0000000000324589450909169,0.11912856704510598,-1.6090072026388729,0.000000013760428352265087,0.13896779927314273,-1.4030048315041097,0.0000000001271898780071201,0.11188849931538844,-1.7131175023173517,0.00000000000011741055005214047,0.0166187531997007,-4.414480350802338,0.000000000000000000000000000000000000000000000000000000000000004196366470325705,0.07262798507809812,-2.319607787864638,0.00000000000000001365082782683704,0.22844745650646706,-0.6870585622015344,0.0010186422133232691,0.08087976296541871,-2.162903155191181,0.000000000000009711070402979996,0.12711390335212377,-1.4497813492922873,0.0185746190964765
ENSMUSG00000036545,Adamts2,0.05374783001768383,-1.31053508763531,0.0000000000000000000000000000006557748668097359,0.5084163658517145,2.2282576153347193,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002556004281552161,0.13710629362692264,0.11461970505838881,0.1204322410527124,0.11317256069839554,-0.1903809444414004,0.03134046967971221,0.07267484249216864,-0.8353624924122598,0.0000000007913845974280008,0.19432569865416144,0.6825451378753504,0.00000000000000000002822616719737841,0.006191478061333777,-4.285997796774759,0.000000000000000000000000000000000000000000000000000000000016271786390958174,0.007144365173261315,-4.159416990545192,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000002688800014131669,0.5496142801772097,2.2392427127462082,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010267940718748983,0.04024395858316362,-1.7051909787206547,0.0000000000000000000000000000005422259935325541,0.23197049835957753,0.9082350974775246,0.00000000000000001012455825401928,0.04019148942130194,-1.6911701839392488,0.0000000000000000000000020141913163395855,0.06391172652531371,-1.0017132788134226,0.00000003797727010160181,0.047959467980584494,-1.4221408553577306,0.0000000000000046901777408776184,0.048680879114293835,-1.4109454503518966,0.000000000000000007608580244455224,0.039764803437488214,-1.7133981459840735,0.000000000000000000000000001923716903496759,0.08426715530810255,-0.5845412511025678,0.011322519082928225,0.06211928978487474,-1.023105669952061,0.000017905574973924818,0.20907920691219933,0.7295971323449422,0.00014771250947336975,0.16950775291903744,0.42623690126600655,0.062352749064611676,0.10359005830009216,-0.2758865759534874,0.3514874261452299,0.07534398755772799,-0.7436788194365911,0.0017893045508096705,0.2922460803013877,1.223352264694726,0.00000000000011084264745246847,0.010386720749812938,-3.517539061096246,0.0000000000000000000000000000002125919042505321,0.2591052440624041,1.0433521158998067,0.000000012989194340959,0.05754783255506422,-1.1235190946883749,0.00002440633195159417,0.09180946066344826,-0.45305101953264604,0.08608274740123288,0.054477387150910196,-1.0252163050399958,0.15422330522120214
ENSMUSG00000066113,Adamtsl1,0.046291483656849076,-2.037300562667824,0.00000000000000000000000000000000000000000000000000000000000000019811229027806986,1.674217976018311,4.009093985741148,0,0.01656451582392224,-3.591552162232892,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015251876213880225,0.16113616975628697,-0.17483532910151212,0.03901710936258185,0.03341981808034032,-2.463072606939141,0.0000000000000000000000000000000000000000000000017497553783012778,0.04072543749285142,-2.248269187641791,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029149259454775253,0.022908468826934973,-2.987670974229685,0.0000000000000000000000000000000000000000000000000007910666786487449,0.01807104132060215,-3.3608001771056557,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000014767679544414226,0.16092706123588701,-0.16185915700154352,0.3029848709808941,0.038856235873399356,-2.257007559585894,0.000000000000000000000000000000000000000000000000044443759620063,0.22527318738331678,0.3384880275872222,0.002900432478431135,0.024233103915784992,-2.912182070930063,0.00000000000000000000000000000000000000000000000000008550772790852645,0.03926006057983557,-2.196991178161473,0.00000000000000000000000021596481324725715,0.04873300778672295,-1.8984848406855859,0.0000000000000000000000011408819730178678,0.14477819892432842,-0.32228596544178734,0.01437166583332667,0.04294598771248727,-2.1029081719848217,0.00000000000000000000000000000000000000028603806661551035,1.103734504819853,2.7235565547592535,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000193634958704698,0.11684342602393107,-0.6181683182333368,0.004032287963601235,0.05666632710704468,-1.6358983544631234,0.000000008089445462040852,0.03715238420143286,-2.206584394256545,0.0000000001130619309987423,0.2563853942927281,0.5240055416325928,0.022336664961260848,0.08538985256542504,-1.0636033696539196,0.000009266179314674765,0.6596411526802751,1.927773211807603,0.000000000000000000000000000000000000000018531749114491717,0.10594455164809197,-0.7683753469130039,0.000015822524929096235,0.9951996874215067,2.545145165927613,0.0000000000000000000000000000000000000000000000000000000000000000000000000039407540069024484,0.034877474275796495,-2.3181062454260015,0.00000000000003321102677812299,0.07213600480699507,-1.291242651388358,0.000005797950935855859,0.027238693575455098,-2.328058782269832,0.0027583461867703007
ENSMUSG00000039167,Adgrl4,5.078082552826833,4.432711271279832,0,0.49592220185157776,-0.2853506231577838,0.001549610498268674,0.09639350774643905,-2.786045518563321,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010135120921547414,0.09107696551442308,-2.8262127261267613,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046639756590793966,0.2084760080249801,-1.5634353982213476,0.0000000000000000000000000000000000000000008412282151607884,0.08924401425902627,-2.8646323466402936,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014535018491998153,0.035910572755735906,-4.089488854378446,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009486191622874628,0.1328011408676809,-2.23493413749916,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006736404009853254,0.6762454103300388,0.17971944843008103,0.11533728191555191,0.08696395647856046,-2.8421987480102326,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010276902883277821,0.12907544790611664,-2.2538620218260768,0.0000000000000000000000000000000000000000000000000000000000000005650485516964427,0.06737984991218267,-3.1931338443362156,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008096236962622417,0.03743401125054089,-4.0027246162636665,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000003726701737784692,0.1895172525039226,-1.6868151211321947,0.000000000000000000000000000000001444504693640887,0.13908822604083954,-2.143775053388973,0.0000000000000000000000000000000000000000000000000000000029197807591143635,0.10285829155830285,-2.5902655092807696,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679374962219711,0.1982756595484766,-1.600180777638294,0.000000000000003279088870658543,0.4806849804781974,-0.3206816872779381,0.06699802226926758,5.961688413917011,3.4771754645533948,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012263576904505412,0.2322024012589554,-1.3660592863740304,0.000000008844209344416909,0.35997545259282027,-0.734222616688158,0.0019492097510114242,0.207614543492406,-1.5336990210834087,0.00000000000004767428519989245,0.23379686424111018,-1.3628126528952413,0.00000000001359262652717538,0.017657425274681993,-5.036057876270587,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000015757408846401768,0.1334784590624506,-2.1621038735449036,0.000000000000000000284267205753875,0.23193520393404668,-1.3734428711252706,0.000000000034771848575550875,0.19017673994571427,-1.653420051517132,0.0000000000031448547263842974,0.35410301648091624,-0.7373612533732384,0.222278124996009
ENSMUSG00000013584,Aldh1a2,0.0553012355095244,-2.0312240663281207,0.0000000000000000000000000000000000000004078611204358687,0.0499766560005466,-2.142729971120475,0.0000000000000000000000000001111794485861802,0.008182471672057974,-4.849758805477158,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010345330498234511,0.0070059204241863906,-5.007713490431522,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011633109471073706,0.014853252480151255,-3.8615760310919756,0.0000000000000000000000000000000000000000000000000022121571644453037,0.009552880399557742,-4.585285198795149,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041170680724295675,0.009906364898134044,-4.401619490562794,0.00000000000000000000000000000000000000000000000006197587770114435,0.00756462194815904,-4.826600579515093,0.000000000000000000000000000000000000000000000000000000000000000000000000000004018254943704732,5.939351757306999,6.676923015822068,0,0.009251484731761751,-4.535791644998092,0.00000000000000000000000000000000000000000000000000000000000000000011818894065895433,0.032877708428916505,-2.7268696640425607,0.00000000000000000000000000000037540280612376863,0.01063892367034463,-4.310492281898723,0.0000000000000000000000000000000000000000000000000022701055632559747,0.0328688879273042,-2.69842546598551,0.0000000000000000000049478030177117206,0.0363563708885076,-2.567005257392755,0.00000000000000000000005025523591415069,0.018966576278296298,-3.5013861168345084,0.000000000000000000000000000000000000002074600358478547,0.013785131858329247,-3.9657699209697017,0.00000000000000000000000000000000000000000000000000005852885075790066,0.08261485814519857,-1.3617004040424021,0.000038255883320165946,0.12867567169724053,-0.7308276509113134,0.015095144510278604,2.9056147726957047,3.9971207758436553,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004209042282380955,0.06733869636509707,-1.6346501948363819,0.00007998374161787122,0.05438478060754838,-1.9248101969892093,0.00002273397242370558,0.00669724333846471,-4.7001214867358225,0.00000000000000000007246674617056923,0.010019865610333294,-4.218165220322383,0.00000000000000000686012250737781,0.004154688299925175,-5.400585495020911,0.00000000000000000000000000000000009617205177790612,0.00588875554687282,-4.790190045143146,0.00000000000000003661631832756312,0.019182610851688073,-3.3765424586414996,0.000000000000056811028507600076,0.0393469117129064,-2.383195277654877,0.00000004516796859181071,0.1361934678772755,-0.5753265573997188,0.732947567086887
ENSMUSG00000022309,Angpt1,0.20256407613601074,-0.172100544144,0.05055419280406475,0.3618502112347268,0.7214751880379466,0.000000000000004113926595057452,0.12014263284338782,-1.0002028859379295,0.00000000000000000000000000000000000025029505024789135,0.12772331850247498,-0.8827586364789028,0.00000000000000000000002824791784124107,0.23765203968242007,0.07469506488969335,0.49234176477204544,0.10080802737428038,-1.2448492747663447,0.00000000000000000000000000000000000000000068566053209794086,0.15664439495174456,-0.544935032459887,0.000017553415018135106,0.07102339495771542,-1.722769197310634,0.0000000000000000000000000000000000000000005814707931007783,0.9207138421528617,2.149026728508799,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000050408662315507566,0.09020197613467708,-1.3674031230793342,0.0000000000000000000000000005060088152275706,0.3397363204321372,0.6153133691784238,0.0000000037539063092699914,0.2825225285791519,0.33540838572994836,0.0017073586323505933,0.39442665512765035,0.8302674157869259,0.000000000009733835994291888,0.5824754740222601,1.435525074576601,0.00000000000000000000000000000000000000000006166921020031352,0.19409129724789878,-0.2272658805431278,0.06932910146413766,0.0890731596999736,-1.3788231320005297,0.0000000000000000000000005072288496941888,0.2544537630872116,0.1770432174195702,0.3287720304248286,0.276578742613609,0.29850830183476007,0.08509339520062387,0.656547789929897,1.5700362708757962,0.00000000000000000000001336149111238845,0.8893351968217991,2.01683758968613,0.0000000000000000000000000000000000014020167608904146,1.1291316354710046,2.370161154435238,0.00000000000000000000000000000000000000000000000002709353768533375,0.10213296091158683,-1.1395461513089225,0.0000008362325878223067,0.1068785665102218,-1.074710668777679,0.000003792607513065088,0.06232032449887762,-1.8636188905580515,0.00000000000000000002077368587861403,0.12758970351557777,-0.8167322300177822,0.0007195917921346739,0.11858341253770809,-0.9247268356214224,0.00008622269827626549,0.3082174750844335,0.456757515912245,0.0226392988591307,0.43581909720728157,0.9640123626382933,0.020153987073959722
ENSMUSG00000031075,Ano1,0.2786809452361988,1.6145748155561581,0.00000000000000000000000000006243746323244312,0.41134632246603736,2.200723251997588,0.000000000000000000000000000000000000000005945602652680451,0.008581616631670558,-3.7485843916426216,0.00000000000000000000000000000000000000000000000000000000000004515719047487266,0.01859263497187927,-2.588450453484734,0.000000000000000000000000000001911464849391174,0.038194077806103226,-1.4842036456208114,0.00000010011753065934015,0.012820971062564338,-3.133122176032726,0.0000000000000000000000000000000000000000704954733276418,0.012382956122667554,-3.0661833435862174,0.00000000000000005292801039574052,0.01050641937244311,-3.3422113590155913,0.000000000000000000000000008218077511652409,0.31745720823035634,1.6780185356306176,0.00000000000010109422754614376,0.014339801334230715,-2.894612155788764,0.000000000000000000007374102976029,0.05418733426247349,-0.9694081475636316,0.0006097794572900483,0.010047872355325485,-3.3591940199270334,0.00000000000000000014771139740757155,0.8573301601038511,3.327197388227275,0.000000000000000000000000000000000000000000000000000000000000000000000008095867440944194,0.047185928174446036,-1.1588228072125508,0.0004106217535460542,0.037933152556592596,-1.4835354956801772,0.0000012835181131029025,0.020147500408327364,-2.400443607308299,0.000000000000011276603850456073,0.11070390991456609,0.09376214942123884,0.6763732041685588,0.13754985595222263,0.40737423836699227,0.222952653694038,0.3732161543946736,1.876906349798944,0.0000000036079621019382114,0.3157952657121793,1.6228616394064654,0.00000648107558194285,0.4557962565204055,2.1642776648980786,0.000000000890892340370457,0.08706416340004122,-0.25131793986145956,0.6797018128599048,0.03005959683099988,-1.7460796696824152,0.001319090045122009,0.006232032449887763,-3.8871874978781658,0.0000000000002533533315062796,0.07066506656247384,-0.5429471813731652,0.37217492337062275,0.020926484565477896,-2.2322692472091714,0.00016580964489975298,0.0786938234258128,-0.3862425486997081,0.5885243890141025,0.43581909720728157,2.0791655609572848,0.002775846469959542
