Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000026090,2010300C02Rik,3.5512620115353095,1.3034768142491604,0,1.4387839025341707,-1.3034768142491604,0
ENSMUSG00000032281,Acsbg1,1.9006552844468547,-1.005393292519472,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007661566375612657,3.815683761571748,1.005393292519472,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007661566375612657
ENSMUSG00000035783,Acta2,0.10507415295948414,-2.587956653522162,0,0.6319164923348741,2.587956653522162,0
ENSMUSG00000000530,Acvrl1,0.08388478058526258,-3.491307345077985,0,0.9437025056187215,3.491307345077985,0
ENSMUSG00000036545,Adamts2,0.09289113655321837,-1.0995455000015588,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028952627200310293,0.19906500961533916,1.0995455000015588,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028952627200204963
ENSMUSG00000066113,Adamtsl1,0.07323773186345439,-2.438763195110397,0,0.39721071368005684,2.438763195110397,0
ENSMUSG00000039167,Adgrl4,0.13844654173997145,-3.4687197348116556,0,1.5331187951902496,3.4687197348116556,0
ENSMUSG00000013584,Aldh1a2,0.009111081037350617,-6.106033524425623,0,0.6299364496104587,6.106033524425623,0
ENSMUSG00000022309,Angpt1,0.12573989998673152,-1.7761260273366548,0,0.43073000837194697,1.7761260273366548,0
ENSMUSG00000031075,Ano1,0.01689564452903333,-4.068470546247131,0,0.2839946993304448,4.068470546247131,0
ENSMUSG00000024411,Aqp4,0.8055103254286035,-2.3062263454498657,0,3.98419954058182,2.3062263454498657,0
ENSMUSG00000022602,Arc,5.049633396080139,0.6685207077387927,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016016696482629345,3.1770492671361783,-0.6685207077387927,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016016696482629345
ENSMUSG00000041225,Arhgap12,0.3865053227798699,-1.2306588527510351,0,0.9070717152170357,1.2306588527510351,0
ENSMUSG00000030047,Arhgap25,0.46731816799621734,0.9580766727469914,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014410265360678602,0.2405044752048911,-0.9580766727469914,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014410265360580305
ENSMUSG00000031355,Arhgap6,0.14434605398254716,-1.1620509941696668,0.0000000000000000000000000000000008704033738772,0.32302982732606367,1.1620509941696668,0.0000000000000000000000000000000008704033738772
ENSMUSG00000021662,Arhgef28,0.7493078715200422,-0.26129744510699326,0.0000000000000000013982059847528636,0.8980908071455799,0.26129744510699326,0.0000000000000000013982059847528636
ENSMUSG00000048251,Bcl11b,1.604737146693517,1.5309995097265265,0,0.5552605525753617,-1.5309995097265265,0
ENSMUSG00000048482,Bdnf,1.1405258224226797,2.8879520887346053,0,0.15401903763488764,-2.8879520887346053,0
ENSMUSG00000025128,Bhlhe22,1.6778003367746466,1.3764397630244911,0,0.6462010862752999,-1.3764397630244911,0
ENSMUSG00000030103,Bhlhe40,3.38946177932029,0.5572970944965281,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001363237397551706,2.303426130799447,-0.5572970944965281,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013632373975293887
ENSMUSG00000020042,Btbd11,0.39153212611082194,-0.2611076516526911,0.000000000002979837402369811,0.4691994098748758,0.2611076516526911,0.000000000002979837402345399
ENSMUSG00000009075,Cabp7,1.8716813485809505,-1.013449350269259,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010519596743329204,3.7785579604889583,1.013449350269259,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010519596743329204
ENSMUSG00000010066,Cacna2d2,0.43000113493519126,-0.5857362243434397,0.0000000000000000000000000000000000000000000000000000000000000000000008427059840177721,0.6453524965362647,0.5857362243434397,0.0000000000000000000000000000000000000000000000000000000000000000000008427059840177721
ENSMUSG00000028222,Calb1,1.372806026340423,1.825917047710684,0,0.3871690684348071,-1.825917047710684,0
ENSMUSG00000003657,Calb2,0.19115816000203825,-3.306975154398347,0,1.8922136864253092,3.306975154398347,0
ENSMUSG00000000805,Car4,1.4177679894672721,-0.11701345411364039,0.00012920995726768288,1.5375738913201844,0.11701345411364039,0.0001292099572687403
ENSMUSG00000097324,Carmn,0.04394962078936562,-3.671577970856858,0,0.5604228068211591,3.671577970856858,0
ENSMUSG00000031654,Cbln1,0.14294971972394935,-0.859579926524696,0.0000000000000000000000000000000000000000020970716643344514,0.25938559689842416,0.859579926524696,0.000000000000000000000000000000000000000002097071664330607
ENSMUSG00000067578,Cbln4,0.3941851612021578,0.9443884638251492,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005608885399170003,0.20479299035382673,-0.9443884638251492,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005608885399170003
ENSMUSG00000019997,Ccn2,0.3098465719828509,-1.054995557225276,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000012012693503793612,0.6437967486813668,1.054995557225276,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000012012693503755374
ENSMUSG00000047139,Cd24a,0.32168050482446725,-0.7602502064933908,0.0000000000000000000000000000000000000000000000000000009409974762045863,0.5448653282721805,0.7602502064933908,0.0000000000000000000000000000000000000000000000000000009409974762011631
ENSMUSG00000044811,Cd300c2,0.10280510978926272,-1.5733518060671194,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004064621300744815,0.30598731673377355,1.5733518060671194,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004064621300744815
ENSMUSG00000005087,Cd44,0.039376626092457845,-2.0081495293085796,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029447694714546473,0.1584741337648224,2.0081495293085796,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029447694714546473
ENSMUSG00000040747,Cd53,0.1858171814629017,-1.6001158134323425,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004304100713755877,0.5633928709077822,1.6001158134323425,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004304100713755877
ENSMUSG00000018774,Cd68,0.19503298756964713,-1.2713822566838475,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006564663593861235,0.4708258735413599,1.2713822566838475,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006564663593861235
ENSMUSG00000027435,Cd93,0.04248346981783794,-4.033871854663958,0,0.6964093125015488,4.033871854663958,0
ENSMUSG00000031841,Cdh13,1.1706517340519271,0.8538823812769907,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017949824059777654,0.6476861183186114,-0.8538823812769907,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017949824060022532
ENSMUSG00000050840,Cdh20,0.6124671141774582,-0.7980841269197916,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007142437806605988,1.064980122489168,0.7980841269197916,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007142437806605988
ENSMUSG00000000305,Cdh4,0.28422383833758136,0.48912017244611006,0.0000000000000000000000000000000000016476191635486713,0.20245936857147992,-0.48912017244611006,0.0000000000000000000000000000000000016476191635471725
ENSMUSG00000039385,Cdh6,0.7732550040549944,1.4712967647128656,0,0.27883244508464733,-1.4712967647128656,0
ENSMUSG00000025370,Cdh9,0.4504923401801139,1.338710166133823,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008798962749409189,0.17806241357421812,-1.338710166133823,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008798962749481212
ENSMUSG00000021919,Chat,0.016372019182059157,-3.429026976797857,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015138800626,0.1766480973424928,3.429026976797857,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015138800626
ENSMUSG00000022860,Chodl,0.012951000248494557,-0.6887032917970721,0.00011982593933065436,0.020861164417948507,0.6887032917970721,0.00011982593933065436
ENSMUSG00000045613,Chrm2,0.3373194485207625,-1.1378308801618515,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041458412978684097,0.7423038742210356,1.1378308801618515,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041458412978684097
ENSMUSG00000041378,Cldn5,0.13806254981885707,-3.9936728009387865,0,2.199898182637153,3.9936728009387865,0
ENSMUSG00000021097,Clmn,1.1417476148989527,-1.9144728561770255,0,4.304330019632847,1.9144728561770255,0
ENSMUSG00000030092,Cntn6,1.0696269504423765,0.3274700766675304,0.0000000000000000000030641832002496035,0.8524083928608519,-0.3274700766675304,0.00000000000000000000306418320025239
ENSMUSG00000031772,Cntnap4,0.6532400745285138,0.10632341507076948,0.0032627096382072973,0.6068123792217497,-0.10632341507076948,0.003262709638210285
ENSMUSG00000067028,Cntnap5b,0.5272209076900628,1.7234045413126875,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001267366028006806,0.15960558675020264,-1.7234045413126875,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001267366028011993
ENSMUSG00000034903,Cobll1,0.1538062185845472,-3.2336986023291647,0,1.44712836830135,3.2336986023291647,0
ENSMUSG00000026141,Col19a1,0.48358546210888165,2.253776912517213,0,0.10133575800311936,-2.253776912517213,0
ENSMUSG00000001506,Col1a1,0.026425625843963286,-4.529671144986088,0,0.6111260437285119,4.529671144986088,0
ENSMUSG00000001119,Col6a1,0.6624907889917242,0.6667194158679675,0.0000000000000000000000000000000000000000000000000000000003000685927735101,0.41729400417055645,-0.6667194158679675,0.00000000000000000000000000000000000000000000000000000000030006859277582984
