Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSMUSG00000026090,2010300C02Rik,1.8621386752403086,-0.7218497363426943,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001793839548922739,2.3570858480998464,-0.3708535237960846,0.0000000000000000000000000000000000005719059029521577,3.276016782127743,0.27676546104179645,0.0000000000000000000009504133698541787,1.558139377834203,-0.9425625550075372,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000008859933760686153,7.696251110890187,1.7635343705379791,0,0.19693642253211846,-3.9533540862467564,0
ENSMUSG00000032281,Acsbg1,5.511629778375366,1.5528115800047013,0,1.774133706630337,-0.6746465243699421,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003134432397047476,2.0870941595356247,-0.36664352554378654,0.000000000000000000000000000000003246203810269691,2.7978113108161478,0.15945117072694304,0.00026129236161220697,0.9747921469419423,-1.4816852505043636,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012209280867288059,1.6264631602064372,-0.6783117150929663,0.000000000000000000000000000000000041212373678054173
ENSMUSG00000035783,Acta2,0.2130824794386488,-0.46252029341261247,0.00000013954926572588938,0.10591595632613494,-1.7121345173844265,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002370530474788957,0.09927867113294674,-1.785900271998412,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013401272431395714,1.665720103052751,3.7032410381640215,0,0.12501217238350182,-1.2505330115863393,0.000000000000000000000003863892616558993,0.10757031482846807,-1.4379702762228845,0.00000000000000000001721244345019006
ENSMUSG00000000530,Acvrl1,0.1533312488904632,-1.436479068002087,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014670090246035828,0.09340162971796094,-2.348099411343214,0,0.08788897715473153,-2.4077405005431523,0,2.8557576617064915,4.8864951072885265,0,0.04714991968789514,-3.1032108514644454,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015868341319502147,0.07116190057883272,-2.450381939587351,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007402197235991512
ENSMUSG00000036545,Adamts2,0.21800774356192656,1.0113199872062912,0.0000000000000000000000000000000000000000000000000000000000000000000000000010469462884688202,0.12986721718548783,0.029959224622982727,0.5641660203246686,0.07910007943925838,-0.8751448203342966,0.0000000000000000000000000000000000000000000000006151526673240003,0.197587557134287,0.7159730257467856,0.000000000000000000000022470443393020878,0.022060971597088554,-2.6606833196645017,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001536989261341707,0.13603507506000115,0.09774147434116554,0.2952087771432548
ENSMUSG00000066113,Adamtsl1,0.6492275787762725,3.0725004120467774,0,0.11925904628584365,-0.7758041245509166,0.000000000000000000000000000000000000000000000000000000024240356879760032,0.02968495044715932,-2.9709080761115927,0,0.11043054575413876,-0.7645148921812059,0.0000000000000000007934691986576473,0.039579978453600055,-2.3105816654191784,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018149099071650727,0.09532384821722709,-0.9659601085642944,0.000000000000000000017590997750104572
ENSMUSG00000039167,Adgrl4,0.33595485809305214,-0.9680008582668247,0.000000000000000000000000000000000000000000000000000000000000000000000000000006172641262376232,0.13948087206329038,-2.4827024223962435,0,0.15918666780576374,-2.244181255711498,0,4.463056443779634,4.650517278507682,0,0.08975787463521323,-2.8776620341329533,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013161295183329228,0.1284224066259865,-2.303011249869797,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016866010825656085
ENSMUSG00000013584,Aldh1a2,0.13661127331407288,-0.7591411699829407,0.00000000000000000001992608294833341,0.009696531212956017,-4.913334916994593,0,0.008071436677475344,-5.136247243785947,0,1.8433589164379034,5.658230175233269,0,0.00908392948115411,-4.684953129070119,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000364746627102569,0.03442250074510978,-2.714132619349415,0.00000000000000000000000000000000000000000000000000000006233382677869786
ENSMUSG00000022309,Angpt1,0.43446014055860754,1.2648993018691157,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003660313988477302,0.11710426157185343,-1.2018206028855045,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020354849836070418,0.10349375473118386,-1.381908520010799,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004114278600657404,0.41607379819623896,1.0155868568863227,0.000000000000000000000000000000000000000000000000000000006354647704946503,0.19097880313950188,-0.2723222991381111,0.0002266874973746813,0.37699258027576965,0.810138278545776,0.000000000000000000000000005057743737804584
ENSMUSG00000031075,Ano1,0.20323195119209325,1.2818529773903125,0.00000000000000000000000000000000023125820265068264,0.02585741656788271,-2.3941690492314156,0.000000000000000000000000000000000000000000000000000000000000000000000000000000001575939878998141,0.01497699916820425,-3.184731317121279,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006175357740017939,0.29780624596922584,1.8238432012032995,0.00000000000000000000000000000000000000000000000389861237361486,0.016870154750714777,-2.7621635862050855,0.000000000000000000000000000000000000000105241633131411,0.3710348397621929,2.1269217383096937,0.000000000000000000000000000000000000000000000000000039610642754372726
